{'question': 'Which award has a music artist received a nomination for?', 'correctness': False}
{'question': 'Which award has a music artist received?', 'correctness': False}
{'question': 'Which recording is produced during a recording process?', 'correctness': False}
{'question': 'Which equipment is involved in a recording process?', 'correctness': False}
{'question': 'Which is the recording process that recorded a musical performance?', 'correctness': False}
{'question': 'Which are the agents involved in a creative process?', 'correctness': False}
{'question': 'Which are the creative actions of a creative process?', 'correctness': False}
{'question': 'Which is the process that led to the creation of a musical piece?', 'correctness': False}
{'question': 'When did the creation process took place?', 'correctness': False}
{'question': 'Where did the creation process took place?', 'correctness': False}
{'question': 'Which music entity is created during a musical performance?', 'correctness': False}
{'question': 'Which person is a dedication statement dedicated to?', 'correctness': False}
{'question': 'Which is the form type of an abstract score?', 'correctness': False}
{'question': 'Which is the music genre associated with/attributed to a music artist?', 'correctness': False}
{'question': 'Which is the instrumentation associated with an abstract score?', 'correctness': False}
{'question': 'Which is the key an abstract score is composed or written in?', 'correctness': False}
{'question': 'Which is the license of a release?', 'correctness': False}
{'question': 'Which is the license of a score?', 'correctness': False}
{'question': 'Which is the license of a recording?', 'correctness': False}
{'question': 'Which is the opus statement associated with a music entity?', 'correctness': False}
{'question': 'Which is the publisher involved in a publication situation?', 'correctness': True}
{'question': 'When did a publication situation happen?', 'correctness': False}
{'question': 'Where did a publication situation happen?', 'correctness': False}
{'question': 'Which is the recording of a music entity?', 'correctness': False}
{'question': 'Which is the text that is source of another text?', 'correctness': False}
{'question': 'Which is the text associated with an abstract score?', 'correctness': False}
{'question': 'Which is the broadcaster involved in a broadcasting situation?', 'correctness': False}
{'question': 'When did a broadcasting situation happen?', 'correctness': False}
{'question': 'Where did a broadcasting situation happen?', 'correctness': False}
{'question': 'Which music dataset has a music algorithm been trained on?', 'correctness': False}
{'question': 'Where a music ensemble was formed?', 'correctness': False}
{'question': 'Which music artist has a music artist collaborated with?', 'correctness': False}
{'question': 'Which music artist was a music artist influenced by?', 'correctness': False}
{'question': 'Which role did a music artist play within a music ensemble?', 'correctness': False}
{'question': 'In which time interval has a music artist been a member of a music ensemble?', 'correctness': False}
{'question': 'Which are the members of a music ensemble?', 'correctness': False}
{'question': 'Which is the start date of the activity of a music artist?', 'correctness': False}
{'question': 'Which is the end date of the activity of a music artist?', 'correctness': False}
{'question': 'Which is the name of a music artist?', 'correctness': False}
{'question': 'Which is the alias of a music artist?', 'correctness': False}
{'question': '', 'correctness': False}
{'question': '', 'correctness': False}
{'question': '', 'correctness': False}
